h, min, s, pm_25, pm_10
15, 46, 10, 10.6, 13.4
15, 46, 11, 10.0, 13.0
15, 46, 12, 9.5, 12.7
15, 46, 13, 9.1, 15.0
15, 46, 14, 8.7, 14.4
15, 46, 15, 8.5, 14.2
15, 46, 16, 8.4, 13.8
15, 46, 17, 8.4, 14.2
15, 46, 18, 8.3, 14.1
15, 46, 19, 8.3, 14.0
15, 46, 20, 8.0, 13.8
15, 46, 21, 7.9, 14.1
15, 46, 22, 7.7, 14.0
15, 46, 23, 7.6, 14.1
15, 46, 24, 7.5, 13.9
15, 46, 25, 7.4, 13.9
15, 46, 26, 7.4, 13.8
15, 46, 27, 7.4, 14.3
15, 46, 28, 7.5, 14.1
15, 46, 29, 7.7, 14.5
15, 46, 30, 7.8, 14.7
15, 46, 31, 7.9, 14.8
15, 46, 32, 8.0, 14.8
15, 46, 33, 8.1, 14.9
15, 46, 34, 8.2, 14.8
15, 46, 35, 8.0, 14.5
15, 46, 36, 8.0, 14.2
15, 46, 37, 8.0, 14.4
15, 46, 38, 8.1, 14.5
15, 46, 39, 8.1, 14.6
15, 46, 40, 8.2, 15.2
15, 46, 41, 8.3, 15.2
15, 46, 42, 8.2, 14.8
15, 46, 43, 8.0, 12.0
15, 46, 44, 8.1, 12.1
15, 46, 45, 8.1, 12.8
15, 46, 46, 8.3, 13.0
15, 46, 47, 8.3, 12.6
15, 46, 48, 8.3, 12.7
15, 46, 49, 8.4, 12.8
15, 46, 50, 8.5, 12.8
15, 46, 51, 8.6, 12.4
15, 46, 52, 8.7, 12.6
15, 46, 53, 8.7, 12.6
15, 46, 54, 8.9, 13.7
15, 46, 55, 8.9, 13.7
15, 46, 56, 8.9, 14.2
15, 46, 57, 8.8, 13.6
15, 46, 58, 8.8, 13.6
15, 46, 59, 8.6, 13.4
15, 47, 0, 8.6, 13.3
15, 47, 1, 8.6, 13.3
15, 47, 2, 8.7, 13.2
15, 47, 3, 8.6, 13.2
15, 47, 4, 8.7, 13.3
15, 47, 5, 8.8, 13.4
15, 47, 6, 8.8, 13.5
15, 47, 7, 8.8, 13.3
15, 47, 8, 8.8, 13.3
15, 47, 9, 8.8, 13.3
15, 47, 10, 8.7, 12.6
15, 47, 11, 8.7, 12.6
15, 47, 12, 8.8, 12.7
15, 47, 13, 8.9, 12.7
15, 47, 14, 8.9, 12.8
15, 47, 15, 8.9, 12.3
15, 47, 16, 8.9, 12.1
15, 47, 17, 8.9, 12.3
15, 47, 18, 8.9, 12.6
15, 47, 19, 9.0, 12.6
15, 47, 20, 9.1, 12.8
15, 47, 21, 9.1, 13.1
15, 47, 22, 9.1, 13.1
15, 47, 23, 9.1, 13.1
15, 47, 24, 9.0, 11.9
15, 47, 25, 9.0, 12.0
15, 47, 26, 9.1, 11.5
15, 47, 27, 9.2, 11.7
15, 47, 28, 9.2, 11.7
15, 47, 29, 9.3, 11.8
15, 47, 30, 9.3, 11.8
15, 47, 31, 9.2, 11.8
15, 47, 32, 9.3, 11.8
15, 47, 33, 9.3, 11.9
15, 47, 34, 9.2, 12.2
15, 47, 35, 9.2, 12.1
15, 47, 36, 9.3, 12.2
15, 47, 37, 9.4, 12.3
15, 47, 38, 9.3, 12.3
15, 47, 39, 9.2, 12.3
15, 47, 40, 9.3, 12.4
15, 47, 41, 9.3, 12.5
15, 47, 42, 9.4, 12.7
15, 47, 43, 9.3, 12.6
15, 47, 44, 9.3, 12.5
15, 47, 45, 9.3, 12.5
15, 47, 46, 9.3, 12.5
